Map,Winner,Team1StartingSide,Team2StartingSide,AverageACSTeam1,AverageACSTeam2,AverageKillsTeam1,AverageKillsTeam2,TotalFKTeam1,TotalFKTeam2,TotalFDTeam1,TotalFDTeam2,TotalKillsTeam1,TotalKillsTeam2,TotalDeathsTeam1,TotalDeathsTeam2,TotalFKFDTeam1,TotalFKFDTeam2,EntryFKFDTeam1,EntryFKFDTeam2,HsPercentageTeam1,HsPercentageTeam2
Split,1,T,CT,223.6,179.0,15.6,11.0,12,7,7,12,78,55,55,78,5,-5,1.0,-1.0,22.8,18.0
Icebox,1,T,CT,223.8,145.0,14.0,8.0,11,6,6,11,70,40,40,70,5,-5,1.0,-1.0,25.6,25.4
Haven,1,CT,T,218.2,165.6,14.2,10.2,10,8,8,10,71,51,51,71,2,-2,0.4,-0.4,26.2,36.2
Breeze,1,CT,T,218.4,177.4,15.0,11.4,10,9,9,10,75,57,57,75,1,-1,0.2,-0.2,25.4,27.8
Bind,1,CT,T,211.2,188.4,15.0,12.2,7,13,13,7,75,61,61,75,-6,6,-1.2,1.2,23.0,18.2
Icebox,1,CT,T,242.0,184.8,15.6,11.0,11,7,7,11,78,55,55,78,4,-4,0.8,-0.8,26.2,23.0
Icebox,-1,CT,T,176.8,220.8,13.6,17.8,8,15,15,8,68,89,89,68,-7,7,-1.4,1.4,17.4,25.2
Haven,1,CT,T,209.2,199.4,17.6,17.0,15,9,9,15,88,85,85,88,6,-6,1.2,-1.2,22.8,25.6
Ascent,1,T,CT,210.4,191.2,16.0,14.2,14,8,8,14,80,71,71,80,6,-6,1.2,-1.2,21.6,23.0
Bind,-1,T,CT,183.6,239.6,12.6,17.2,10,10,10,10,63,86,86,63,0,0,0.0,0.0,22.8,37.0
Breeze,-1,CT,T,215.2,206.8,22.2,22.2,14,16,16,14,111,111,111,111,-2,2,-0.4,0.4,26.2,37.0
Split,-1,CT,T,198.2,201.8,14.4,14.8,13,8,8,13,72,74,74,72,5,-5,1.0,-1.0,26.8,29.0
Icebox,1,T,CT,222.0,203.2,16.4,14.4,10,11,11,10,82,72,72,82,-1,1,-0.2,0.2,25.8,34.4
Haven,-1,CT,T,214.8,201.0,19.8,18.2,17,9,9,17,99,91,91,99,8,-8,1.6,-1.6,24.6,24.8
Breeze,1,CT,T,227.6,201.4,15.2,13.0,11,8,8,11,76,65,65,76,3,-3,0.6,-0.6,27.2,20.6
Fracture,1,CT,T,208.4,209.6,17.6,17.6,10,14,14,10,88,88,89,88,-4,4,-0.8,0.8,24.8,23.8
Icebox,1,CT,T,237.6,167.8,16.8,10.4,11,8,8,11,84,52,52,84,3,-3,0.6,-0.6,30.6,26.0
