Map,Winner,Team1StartingSide,Team2StartingSide,AverageACSTeam1,AverageACSTeam2,AverageKillsTeam1,AverageKillsTeam2,TotalFKTeam1,TotalFKTeam2,TotalFDTeam1,TotalFDTeam2,TotalKillsTeam1,TotalKillsTeam2,TotalDeathsTeam1,TotalDeathsTeam2,TotalFKFDTeam1,TotalFKFDTeam2,EntryFKFDTeam1,EntryFKFDTeam2,HsPercentageTeam1,HsPercentageTeam2
Bind,1,T,CT,196.6,203.4,15.6,16.2,9,14,14,9,78,81,81,78,-5,5,-1.0,1.0,26.2,30.4
Icebox,1,T,CT,210.4,195.4,16.8,14.8,11,12,12,11,84,74,74,84,-1,1,-0.2,0.2,36.6,32.8
Haven,-1,T,CT,176.8,239.0,9.0,14.4,2,14,14,2,45,72,72,45,-12,12,-2.4,2.4,28.8,39.0
Ascent,1,T,CT,214.4,197.4,17.6,15.8,12,11,11,12,88,79,79,88,1,-1,0.2,-0.2,23.2,29.6
Haven,1,T,CT,197.8,214.0,16.6,17.0,6,17,17,6,83,85,85,83,-11,11,-2.2,2.2,28.6,30.4
Bind,-1,CT,T,203.8,214.4,15.0,16.0,8,13,13,8,75,80,81,75,-5,5,-1.0,1.0,19.8,31.2
Ascent,-1,CT,T,176.4,230.8,12.2,17.4,9,12,12,9,61,87,87,61,-3,3,-0.6,0.6,25.8,30.4
Icebox,-1,T,CT,183.8,216.4,13.0,15.2,9,11,11,9,65,76,76,65,-2,2,-0.4,0.4,29.4,29.0
Haven,1,T,CT,209.0,168.6,15.4,11.2,11,9,9,11,77,56,56,77,2,-2,0.4,-0.4,32.0,32.2
Fracture,-1,CT,T,198.0,206.0,17.0,17.0,14,10,10,14,85,85,85,85,4,-4,0.8,-0.8,24.4,22.6
Ascent,-1,CT,T,182.0,235.8,10.8,15.2,9,9,9,9,54,76,76,54,0,0,0.0,0.0,24.0,27.6
Breeze,-1,CT,T,181.8,206.8,14.8,17.6,13,11,11,13,74,88,88,74,2,-2,0.4,-0.4,31.4,22.4
Ascent,1,T,CT,206.6,196.4,16.0,14.2,9,12,12,9,80,71,71,80,-3,3,-0.6,0.6,29.2,28.2
Icebox,-1,T,CT,185.8,199.8,14.6,17.0,8,16,16,8,73,85,85,73,-8,8,-1.6,1.6,30.6,26.8
Split,-1,T,CT,185.2,209.0,18.0,20.4,12,16,16,12,90,102,102,90,-4,4,-0.8,0.8,26.4,22.6
Fracture,-1,CT,T,144.0,238.4,6.8,13.4,1,14,13,2,34,67,67,35,-12,12,-2.4,2.4,28.6,25.4
Ascent,1,T,CT,209.6,189.8,15.8,12.8,11,10,10,11,79,64,64,79,1,-1,0.2,-0.2,27.4,24.2
Icebox,1,T,CT,218.8,199.4,18.6,15.6,10,14,14,10,93,78,78,93,-4,4,-0.8,0.8,27.8,26.6
Ascent,-1,T,CT,190.0,223.0,14.2,17.4,10,12,12,10,71,87,87,71,-2,2,-0.4,0.4,28.6,27.8
Bind,-1,T,CT,213.6,217.8,19.0,20.0,12,14,14,12,95,100,100,95,-2,2,-0.4,0.4,20.4,25.6
Breeze,-1,CT,T,202.0,203.4,19.8,19.8,13,15,15,13,99,99,99,99,-2,2,-0.4,0.4,23.2,28.6
Fracture,1,CT,T,213.2,167.6,15.4,12.0,12,8,9,11,77,60,61,77,3,-3,0.6,-0.6,25.2,34.2
Haven,-1,CT,T,155.8,227.8,8.6,14.2,4,13,13,4,43,71,71,43,-9,9,-1.8,1.8,26.2,42.4
Split,1,CT,T,214.4,207.6,15.8,13.8,10,10,10,10,79,69,69,79,0,0,0.0,0.0,28.8,25.6
Haven,1,T,CT,213.0,195.2,17.4,15.4,13,10,10,13,87,77,77,87,3,-3,0.6,-0.6,25.0,31.8
Split,1,T,CT,227.6,184.0,17.0,13.0,15,6,6,15,85,65,65,85,9,-9,1.8,-1.8,28.6,25.8
Icebox,-1,T,CT,181.0,214.4,14.8,18.2,9,15,15,9,74,91,91,74,-6,6,-1.2,1.2,25.0,26.4
Ascent,1,T,CT,222.6,189.8,18.6,15.0,14,9,9,14,93,75,75,93,5,-5,1.0,-1.0,34.4,26.6
Split,-1,T,CT,174.0,235.6,9.8,14.6,7,10,10,7,49,73,73,49,-3,3,-0.6,0.6,26.0,22.2
Split,-1,CT,T,202.4,217.6,15.8,17.6,10,13,13,10,79,88,88,79,-3,3,-0.6,0.6,20.6,30.6
Bind,-1,CT,T,194.0,213.6,13.0,15.4,7,13,13,7,65,77,77,65,-6,6,-1.2,1.2,21.2,26.4
Icebox,-1,CT,T,166.2,225.4,11.0,15.2,8,11,11,8,55,76,76,55,-3,3,-0.6,0.6,36.4,25.2
Haven,1,CT,T,247.0,150.8,13.8,7.0,12,3,3,12,69,35,35,69,9,-9,1.8,-1.8,27.6,22.0
Split,1,CT,T,214.2,206.0,17.4,16.6,15,8,8,15,87,83,83,87,7,-7,1.4,-1.4,24.4,22.2
Haven,1,CT,T,216.6,201.4,21.0,20.2,11,17,17,11,105,101,101,105,-6,6,-1.2,1.2,26.6,29.8
Fracture,1,CT,T,221.8,179.2,14.4,11.2,9,9,9,9,72,56,56,72,0,0,0.0,0.0,29.2,24.0
Bind,1,T,CT,220.8,178.2,16.6,12.8,12,9,9,12,83,64,64,83,3,-3,0.6,-0.6,23.6,26.4
Ascent,-1,T,CT,190.0,223.0,14.2,17.4,10,12,12,10,71,87,87,71,-2,2,-0.4,0.4,28.6,27.8
Bind,-1,T,CT,213.6,217.8,19.0,20.0,12,14,14,12,95,100,100,95,-2,2,-0.4,0.4,20.4,25.6
Breeze,-1,CT,T,202.0,203.4,19.8,19.8,13,15,15,13,99,99,99,99,-2,2,-0.4,0.4,23.2,28.6
Haven,1,CT,T,216.6,201.4,21.0,20.2,11,17,17,11,105,101,101,105,-6,6,-1.2,1.2,26.6,29.8
Fracture,1,CT,T,221.8,179.2,14.4,11.2,9,9,9,9,72,56,56,72,0,0,0.0,0.0,29.2,24.0
Bind,1,T,CT,220.8,178.2,16.6,12.8,12,9,9,12,83,64,64,83,3,-3,0.6,-0.6,23.6,26.4
Icebox,-1,CT,T,166.2,225.4,11.0,15.2,8,11,11,8,55,76,76,55,-3,3,-0.6,0.6,36.4,25.2
Haven,1,CT,T,247.0,150.8,13.8,7.0,12,3,3,12,69,35,35,69,9,-9,1.8,-1.8,27.6,22.0
Split,1,CT,T,214.2,206.0,17.4,16.6,15,8,8,15,87,83,83,87,7,-7,1.4,-1.4,24.4,22.2
Fracture,-1,CT,T,144.0,238.4,6.8,13.4,1,14,13,2,34,67,67,35,-12,12,-2.4,2.4,28.6,25.4
Ascent,1,T,CT,209.6,189.8,15.8,12.8,11,10,10,11,79,64,64,79,1,-1,0.2,-0.2,27.4,24.2
Icebox,1,T,CT,218.8,199.4,18.6,15.6,10,14,14,10,93,78,78,93,-4,4,-0.8,0.8,27.8,26.6
Split,-1,CT,T,202.4,217.6,15.8,17.6,10,13,13,10,79,88,88,79,-3,3,-0.6,0.6,20.6,30.6
Bind,-1,CT,T,194.0,213.6,13.0,15.4,7,13,13,7,65,77,77,65,-6,6,-1.2,1.2,21.2,26.4
Ascent,-1,T,CT,143.2,253.0,6.2,13.2,3,11,11,3,31,66,66,31,-8,8,-1.6,1.6,33.8,22.2
Bind,-1,CT,T,158.0,250.8,8.0,14.8,4,12,12,4,40,74,74,40,-8,8,-1.6,1.6,22.8,24.4
Bind,-1,T,CT,181.0,233.6,11.8,16.4,10,10,10,10,59,82,82,59,0,0,0.0,0.0,24.8,22.2
Haven,1,T,CT,206.6,209.0,16.0,15.6,12,10,10,12,80,78,78,80,2,-2,0.4,-0.4,23.6,22.2
Breeze,-1,CT,T,168.2,257.2,7.4,13.4,5,9,9,5,37,67,67,37,-4,4,-0.8,0.8,18.6,26.6
Bind,1,T,CT,242.4,132.0,14.2,6.8,10,6,6,10,71,34,34,71,4,-4,0.8,-0.8,18.4,24.0
Breeze,1,CT,T,229.4,187.8,17.0,13.6,14,7,7,14,85,68,68,85,7,-7,1.4,-1.4,29.8,21.4
Ascent,1,CT,T,205.8,183.0,15.0,12.2,12,8,8,12,75,61,61,75,4,-4,0.8,-0.8,34.6,21.2
Haven,-1,CT,T,170.6,230.6,9.2,14.2,6,11,11,6,46,71,71,46,-5,5,-1.0,1.0,24.6,19.0
Bind,1,CT,T,219.8,170.0,16.6,11.6,15,6,6,15,83,58,58,83,9,-9,1.8,-1.8,33.0,20.8
Ascent,1,CT,T,205.8,183.0,15.0,12.2,12,8,8,12,75,61,61,75,4,-4,0.8,-0.8,34.6,21.2
Haven,-1,CT,T,170.6,230.6,9.2,14.2,6,11,11,6,46,71,71,46,-5,5,-1.0,1.0,24.6,19.0
Bind,1,CT,T,219.8,170.0,16.6,11.6,15,6,6,15,83,58,58,83,9,-9,1.8,-1.8,33.0,20.8
Bind,1,T,CT,242.4,132.0,14.2,6.8,10,6,6,10,71,34,34,71,4,-4,0.8,-0.8,18.4,24.0
Breeze,1,CT,T,229.4,187.8,17.0,13.6,14,7,7,14,85,68,68,85,7,-7,1.4,-1.4,29.8,21.4
Ascent,-1,T,CT,143.2,253.0,6.2,13.2,3,11,11,3,31,66,66,31,-8,8,-1.6,1.6,33.8,22.2
Bind,-1,CT,T,158.0,250.8,8.0,14.8,4,12,12,4,40,74,74,40,-8,8,-1.6,1.6,22.8,24.4
Bind,-1,T,CT,181.0,233.6,11.8,16.4,10,10,10,10,59,82,82,59,0,0,0.0,0.0,24.8,22.2
Haven,1,T,CT,206.6,209.0,16.0,15.6,12,10,10,12,80,78,78,80,2,-2,0.4,-0.4,23.6,22.2
Breeze,-1,CT,T,168.2,257.2,7.4,13.4,5,9,9,5,37,67,67,37,-4,4,-0.8,0.8,18.6,26.6
Split,-1,T,CT,205.2,223.4,15.0,16.2,8,13,13,8,75,81,82,75,-5,5,-1.0,1.0,23.6,26.2
Breeze,-1,CT,T,198.6,227.6,11.2,14.0,4,13,13,4,56,70,70,56,-9,9,-1.8,1.8,35.6,26.4
Bind,1,CT,T,195.8,174.4,14.4,12.4,13,8,8,13,72,62,62,72,5,-5,1.0,-1.0,30.4,32.6
Icebox,-1,T,CT,192.4,216.6,12.0,15.2,8,11,11,8,60,76,76,60,-3,3,-0.6,0.6,28.4,27.6
Breeze,1,T,CT,206.6,199.8,16.0,15.2,14,8,8,14,80,76,76,80,6,-6,1.2,-1.2,33.0,35.4
Bind,1,T,CT,222.6,192.8,16.0,13.2,11,9,9,11,80,66,66,80,2,-2,0.4,-0.4,22.6,34.2
Breeze,1,CT,T,205.4,186.6,17.0,15.4,11,12,12,11,85,77,77,85,-1,1,-0.2,0.2,27.0,28.6
Bind,-1,T,CT,186.4,237.2,10.6,15.6,7,11,11,7,53,78,78,53,-4,4,-0.8,0.8,23.0,34.0
Fracture,-1,CT,T,167.8,200.8,12.2,16.2,7,15,15,7,61,81,81,61,-8,8,-1.6,1.6,22.4,30.8
Icebox,-1,CT,T,125.8,231.4,6.8,14.4,7,10,10,7,34,72,72,34,-3,3,-0.6,0.6,19.8,27.8
Haven,-1,T,CT,182.4,227.0,13.2,16.8,9,12,12,9,66,84,84,66,-3,3,-0.6,0.6,31.2,26.6
Breeze,1,T,CT,220.4,197.0,19.8,17.6,16,10,10,16,99,88,88,100,6,-6,1.2,-1.2,24.0,31.6
Icebox,-1,CT,T,211.0,218.6,15.6,17.2,9,13,13,9,78,86,86,78,-4,4,-0.8,0.8,29.2,29.4
Haven,-1,CT,T,190.8,213.4,15.6,18.0,8,16,16,8,78,90,90,78,-8,8,-1.6,1.6,25.4,25.0
Icebox,1,T,CT,236.4,177.4,18.2,13.6,13,9,9,13,91,68,68,91,4,-4,0.8,-0.8,25.2,33.6
Haven,-1,CT,T,208.8,210.0,29.6,29.6,18,24,24,18,148,148,148,148,-6,6,-1.2,1.2,23.6,36.4
Ascent,-1,CT,T,185.6,213.8,11.8,14.6,9,10,10,9,59,73,73,59,-1,1,-0.2,0.2,32.6,27.0
Bind,1,T,CT,226.0,202.2,17.8,15.4,13,10,10,13,89,77,77,89,3,-3,0.6,-0.6,26.6,33.2
Icebox,1,CT,T,214.6,179.4,16.6,13.6,14,8,8,14,83,68,68,83,6,-6,1.2,-1.2,32.0,27.2
Fracture,1,T,CT,207.6,210.8,16.8,17.2,9,14,14,9,84,86,86,84,-5,5,-1.0,1.0,21.8,33.6
Bind,1,T,CT,226.0,202.2,17.8,15.4,13,10,10,13,89,77,77,89,3,-3,0.6,-0.6,26.6,33.2
Icebox,1,CT,T,214.6,179.4,16.6,13.6,14,8,8,14,83,68,68,83,6,-6,1.2,-1.2,32.0,27.2
Fracture,1,T,CT,207.6,210.8,16.8,17.2,9,14,14,9,84,86,86,84,-5,5,-1.0,1.0,21.8,33.6
Icebox,1,T,CT,236.4,177.4,18.2,13.6,13,9,9,13,91,68,68,91,4,-4,0.8,-0.8,25.2,33.6
Haven,-1,CT,T,208.8,210.0,29.6,29.6,18,24,24,18,148,148,148,148,-6,6,-1.2,1.2,23.6,36.4
Ascent,-1,CT,T,185.6,213.8,11.8,14.6,9,10,10,9,59,73,73,59,-1,1,-0.2,0.2,32.6,27.0
Bind,-1,T,CT,186.4,237.2,10.6,15.6,7,11,11,7,53,78,78,53,-4,4,-0.8,0.8,23.0,34.0
Fracture,-1,CT,T,167.8,200.8,12.2,16.2,7,15,15,7,61,81,81,61,-8,8,-1.6,1.6,22.4,30.8
Breeze,1,T,CT,220.4,197.0,19.8,17.6,16,10,10,16,99,88,88,100,6,-6,1.2,-1.2,24.0,31.6
Icebox,-1,CT,T,211.0,218.6,15.6,17.2,9,13,13,9,78,86,86,78,-4,4,-0.8,0.8,29.2,29.4
Haven,-1,CT,T,190.8,213.4,15.6,18.0,8,16,16,8,78,90,90,78,-8,8,-1.6,1.6,25.4,25.0
Icebox,-1,CT,T,125.8,231.4,6.8,14.4,7,10,10,7,34,72,72,34,-3,3,-0.6,0.6,19.8,27.8
Haven,-1,T,CT,182.4,227.0,13.2,16.8,9,12,12,9,66,84,84,66,-3,3,-0.6,0.6,31.2,26.6
Icebox,1,T,CT,226.2,185.6,15.2,11.4,11,8,8,11,76,57,57,76,3,-3,0.6,-0.6,25.2,23.2
Haven,1,T,CT,210.8,165.6,14.0,10.8,11,8,8,11,70,54,54,70,3,-3,0.6,-0.6,21.6,29.4
Split,1,T,CT,220.0,195.8,19.4,17.4,11,15,15,11,97,87,87,97,-4,4,-0.8,0.8,22.2,22.0
Icebox,1,T,CT,226.2,185.6,15.2,11.4,11,8,8,11,76,57,57,76,3,-3,0.6,-0.6,25.2,23.2
Haven,1,T,CT,210.8,165.6,14.0,10.8,11,8,8,11,70,54,54,70,3,-3,0.6,-0.6,21.6,29.4
Split,1,T,CT,220.0,195.8,19.4,17.4,11,15,15,11,97,87,87,97,-4,4,-0.8,0.8,22.2,22.0
Icebox,1,CT,T,227.4,175.8,14.4,10.4,10,8,8,10,72,52,52,72,2,-2,0.4,-0.4,19.0,31.4
Haven,1,T,CT,224.8,168.2,14.2,9.0,9,8,8,9,71,45,45,71,1,-1,0.2,-0.2,25.2,26.4
Ascent,-1,CT,T,201.6,211.6,15.8,17.2,9,14,14,9,79,86,86,79,-5,5,-1.0,1.0,20.6,23.6
Fracture,-1,T,CT,170.6,207.0,16.0,20.4,16,12,12,16,80,102,102,80,4,-4,0.8,-0.8,18.4,21.6
Breeze,1,T,CT,250.0,170.4,13.0,7.0,11,3,3,11,65,35,35,65,8,-8,1.6,-1.6,30.4,24.8
Ascent,1,T,CT,216.0,196.8,16.0,14.0,10,11,11,10,80,70,70,80,-1,1,-0.2,0.2,23.4,22.2
Breeze,-1,CT,T,204.0,214.6,16.6,18.4,12,12,12,12,83,92,92,83,0,0,0.0,0.0,29.8,27.6
Haven,1,T,CT,211.0,202.2,19.4,18.4,15,11,11,15,97,92,92,97,4,-4,0.8,-0.8,23.4,28.8
Fracture,1,CT,T,253.4,155.6,13.2,7.0,8,6,6,8,66,35,35,66,2,-2,0.4,-0.4,26.0,18.6
Haven,1,T,CT,209.4,202.8,17.8,16.2,12,12,12,12,89,81,81,89,0,0,0.0,0.0,30.0,24.8
Breeze,1,CT,T,238.0,177.4,16.0,11.6,15,4,4,15,80,58,58,80,11,-11,2.2,-2.2,24.4,36.0
Ascent,1,T,CT,246.4,147.2,15.4,8.0,11,6,6,11,77,40,41,77,5,-5,1.0,-1.0,23.2,17.4
Bind,1,T,CT,235.4,165.0,14.0,9.0,10,7,7,10,70,45,45,70,3,-3,0.6,-0.6,31.6,26.4
Fracture,1,T,CT,222.6,185.4,18.6,15.4,16,8,8,16,93,77,77,93,8,-8,1.6,-1.6,30.2,18.4
Ascent,1,CT,T,240.8,142.0,14.8,7.6,12,5,5,12,74,38,38,74,7,-7,1.4,-1.4,18.4,24.6
Ascent,1,T,CT,205.4,160.6,13.4,9.4,11,7,7,11,67,47,47,67,4,-4,0.8,-0.8,27.4,21.4
Split,-1,CT,T,188.8,191.0,12.8,13.8,11,9,9,11,64,69,69,64,2,-2,0.4,-0.4,23.0,19.8
Haven,1,T,CT,208.8,193.8,18.8,17.4,17,9,9,17,94,87,87,94,8,-8,1.6,-1.6,21.4,23.0
Breeze,1,T,CT,213.4,167.6,17.4,14.0,14,10,10,14,87,70,70,87,4,-4,0.8,-0.8,24.2,26.0
Haven,1,CT,T,214.0,194.4,17.4,15.2,18,5,5,18,87,76,76,87,13,-13,2.6,-2.6,21.4,24.8
Icebox,-1,T,CT,203.2,226.8,14.6,16.4,13,8,8,13,73,82,82,73,5,-5,1.0,-1.0,18.4,26.0
Breeze,-1,CT,T,199.8,209.4,14.8,16.6,8,14,14,8,74,83,83,74,-6,6,-1.2,1.2,24.6,21.4
Breeze,1,CT,T,207.2,187.4,15.2,13.4,11,10,10,11,76,67,67,76,1,-1,0.2,-0.2,24.6,21.4
Ascent,1,T,CT,216.4,216.4,18.0,17.4,10,14,14,10,90,87,87,90,-4,4,-0.8,0.8,21.2,24.2
Icebox,-1,T,CT,207.6,233.8,22.2,25.6,16,16,16,16,111,128,128,111,0,0,0.0,0.0,26.8,25.6
Haven,-1,T,CT,213.0,201.6,16.2,14.8,15,7,7,15,81,74,74,81,8,-8,1.6,-1.6,28.2,22.8
Split,1,T,CT,233.6,138.4,13.8,6.8,10,6,6,10,69,34,34,69,4,-4,0.8,-0.8,29.2,17.2
Bind,1,T,CT,235.4,165.0,14.0,9.0,10,7,7,10,70,45,45,70,3,-3,0.6,-0.6,31.6,26.4
Fracture,1,T,CT,222.6,185.4,18.6,15.4,16,8,8,16,93,77,77,93,8,-8,1.6,-1.6,30.2,18.4
Ascent,1,CT,T,240.8,142.0,14.8,7.6,12,5,5,12,74,38,38,74,7,-7,1.4,-1.4,18.4,24.6
Breeze,1,CT,T,207.2,187.4,15.2,13.4,11,10,10,11,76,67,67,76,1,-1,0.2,-0.2,24.6,21.4
Ascent,1,T,CT,216.4,216.4,18.0,17.4,10,14,14,10,90,87,87,90,-4,4,-0.8,0.8,21.2,24.2
Icebox,-1,T,CT,207.6,233.8,22.2,25.6,16,16,16,16,111,128,128,111,0,0,0.0,0.0,26.8,25.6
Haven,-1,T,CT,213.0,201.6,16.2,14.8,15,7,7,15,81,74,74,81,8,-8,1.6,-1.6,28.2,22.8
Split,1,T,CT,233.6,138.4,13.8,6.8,10,6,6,10,69,34,34,69,4,-4,0.8,-0.8,29.2,17.2
Haven,1,T,CT,209.4,202.8,17.8,16.2,12,12,12,12,89,81,81,89,0,0,0.0,0.0,30.0,24.8
Breeze,1,CT,T,238.0,177.4,16.0,11.6,15,4,4,15,80,58,58,80,11,-11,2.2,-2.2,24.4,36.0
Ascent,1,T,CT,246.4,147.2,15.4,8.0,11,6,6,11,77,40,41,77,5,-5,1.0,-1.0,23.2,17.4
Icebox,-1,T,CT,203.2,226.8,14.6,16.4,13,8,8,13,73,82,82,73,5,-5,1.0,-1.0,18.4,26.0
Breeze,-1,CT,T,199.8,209.4,14.8,16.6,8,14,14,8,74,83,83,74,-6,6,-1.2,1.2,24.6,21.4
Breeze,1,T,CT,213.4,167.6,17.4,14.0,14,10,10,14,87,70,70,87,4,-4,0.8,-0.8,24.2,26.0
Haven,1,CT,T,214.0,194.4,17.4,15.2,18,5,5,18,87,76,76,87,13,-13,2.6,-2.6,21.4,24.8
Fracture,1,T,CT,213.2,196.4,17.6,15.2,14,9,9,14,88,76,76,88,5,-5,1.0,-1.0,23.4,16.6
Ascent,1,CT,T,234.0,148.8,15.8,8.6,11,7,7,11,79,43,43,79,4,-4,0.8,-0.8,23.6,18.6
Fracture,1,CT,T,218.4,172.0,16.4,11.8,14,7,7,14,82,59,59,82,7,-7,1.4,-1.4,24.2,25.4
Breeze,1,CT,T,227.4,161.0,16.2,10.8,13,7,7,13,81,54,54,81,6,-6,1.2,-1.2,28.6,29.0
Bind,1,CT,T,224.2,193.6,17.0,14.4,13,9,9,13,85,72,72,85,4,-4,0.8,-0.8,20.2,22.8
Haven,-1,T,CT,162.6,200.6,11.4,14.8,10,11,11,10,57,74,74,57,-1,1,-0.2,0.2,24.6,29.2
Split,-1,T,CT,179.4,209.2,13.4,14.8,7,14,14,7,67,74,74,67,-7,7,-1.4,1.4,23.6,22.6
Breeze,-1,T,CT,194.0,206.2,18.6,20.2,16,12,12,16,93,101,101,94,4,-4,0.8,-0.8,25.2,27.2
Haven,1,CT,T,219.2,175.2,16.6,12.8,14,8,8,14,83,64,64,83,6,-6,1.2,-1.2,20.8,24.8
Ascent,1,T,CT,201.8,179.6,18.8,16.0,14,12,12,14,94,80,80,94,2,-2,0.4,-0.4,26.6,17.8
Fracture,-1,CT,T,171.4,222.2,9.2,13.8,8,9,9,8,46,69,69,46,-1,1,-0.2,0.2,18.8,20.0
Split,-1,T,CT,177.4,221.8,11.2,14.6,9,10,10,9,56,73,73,56,-1,1,-0.2,0.2,23.2,22.0
Haven,1,CT,T,239.8,173.6,14.8,9.6,11,6,6,11,74,48,48,74,5,-5,1.0,-1.0,24.8,18.8
Bind,1,CT,T,259.2,151.8,13.4,6.6,13,1,1,13,67,33,33,67,12,-12,2.4,-2.4,23.0,27.4
Haven,-1,T,CT,214.2,218.4,14.6,15.4,8,12,12,8,73,77,77,74,-4,4,-0.8,0.8,23.6,25.4
Bind,-1,CT,T,208.8,215.4,14.8,16.0,6,15,15,6,74,80,80,74,-9,9,-1.8,1.8,27.2,20.4
Breeze,-1,T,CT,194.0,206.2,18.6,20.2,16,12,12,16,93,101,101,94,4,-4,0.8,-0.8,25.2,27.2
Haven,1,CT,T,219.2,175.2,16.6,12.8,14,8,8,14,83,64,64,83,6,-6,1.2,-1.2,20.8,24.8
Ascent,1,T,CT,201.8,179.6,18.8,16.0,14,12,12,14,94,80,80,94,2,-2,0.4,-0.4,26.6,17.8
Fracture,-1,CT,T,171.4,222.2,9.2,13.8,8,9,9,8,46,69,69,46,-1,1,-0.2,0.2,18.8,20.0
Split,-1,T,CT,177.4,221.8,11.2,14.6,9,10,10,9,56,73,73,56,-1,1,-0.2,0.2,23.2,22.0
Haven,-1,T,CT,214.2,218.4,14.6,15.4,8,12,12,8,73,77,77,74,-4,4,-0.8,0.8,23.6,25.4
Bind,-1,CT,T,208.8,215.4,14.8,16.0,6,15,15,6,74,80,80,74,-9,9,-1.8,1.8,27.2,20.4
Bind,1,CT,T,224.2,193.6,17.0,14.4,13,9,9,13,85,72,72,85,4,-4,0.8,-0.8,20.2,22.8
Haven,-1,T,CT,162.6,200.6,11.4,14.8,10,11,11,10,57,74,74,57,-1,1,-0.2,0.2,24.6,29.2
Split,-1,T,CT,179.4,209.2,13.4,14.8,7,14,14,7,67,74,74,67,-7,7,-1.4,1.4,23.6,22.6
Haven,1,CT,T,239.8,173.6,14.8,9.6,11,6,6,11,74,48,48,74,5,-5,1.0,-1.0,24.8,18.8
Bind,1,CT,T,259.2,151.8,13.4,6.6,13,1,1,13,67,33,33,67,12,-12,2.4,-2.4,23.0,27.4
Fracture,1,CT,T,218.4,172.0,16.4,11.8,14,7,7,14,82,59,59,82,7,-7,1.4,-1.4,24.2,25.4
Breeze,1,CT,T,227.4,161.0,16.2,10.8,13,7,7,13,81,54,54,81,6,-6,1.2,-1.2,28.6,29.0
Ascent,1,CT,T,204.8,192.4,18.0,17.0,12,14,14,12,90,85,85,90,-2,2,-0.4,0.4,20.0,24.8
Breeze,-1,T,CT,190.2,226.6,13.4,17.0,11,10,10,11,67,85,85,67,1,-1,0.2,-0.2,19.8,31.6
Haven,1,T,CT,223.0,177.6,15.2,11.6,8,11,11,8,76,58,58,76,-3,3,-0.6,0.6,26.6,30.8
Split,-1,CT,T,179.2,228.8,10.0,14.6,7,10,10,7,50,73,73,50,-3,3,-0.6,0.6,26.4,21.4
Ascent,1,T,CT,208.6,189.4,16.2,14.4,14,8,8,14,81,72,72,81,6,-6,1.2,-1.2,28.2,24.0
Bind,1,T,CT,206.2,176.6,14.6,12.2,12,8,8,12,73,61,61,73,4,-4,0.8,-0.8,31.8,22.0
Bind,-1,CT,T,199.8,209.2,15.0,17.0,11,12,12,11,75,85,86,75,-1,1,-0.2,0.2,23.4,23.0
Ascent,1,T,CT,214.8,182.6,16.0,12.8,9,12,12,9,80,64,64,80,-3,3,-0.6,0.6,18.8,16.4
Fracture,-1,T,CT,210.8,221.4,20.4,20.6,15,13,13,15,102,103,103,102,2,-2,0.4,-0.4,16.6,18.6
Bind,1,T,CT,217.6,178.4,14.8,10.6,14,5,5,14,74,53,53,74,9,-9,1.8,-1.8,36.2,19.6
Icebox,1,T,CT,241.0,122.2,12.8,4.8,11,3,3,11,64,24,24,64,8,-8,1.6,-1.6,27.8,19.0
Haven,-1,T,CT,189.0,214.0,16.2,19.4,17,9,9,17,81,97,97,81,8,-8,1.6,-1.6,19.0,26.4
Fracture,1,CT,T,242.2,210.2,15.8,13.0,9,9,9,9,79,65,65,79,0,0,0.0,0.0,17.2,23.2
Ascent,-1,CT,T,208.8,218.0,14.6,16.6,7,14,14,7,73,83,83,73,-7,7,-1.4,1.4,14.6,25.8
Icebox,-1,CT,T,194.4,225.0,11.6,14.4,8,10,10,8,58,72,72,58,-2,2,-0.4,0.4,19.8,29.2
Bind,-1,CT,T,189.6,232.0,14.2,18.4,13,10,10,13,71,92,92,71,3,-3,0.6,-0.6,22.0,29.0
Split,1,CT,T,196.2,174.6,16.2,14.2,15,8,8,15,81,71,71,81,7,-7,1.4,-1.4,26.2,30.4
Bind,1,CT,T,235.2,172.4,14.6,9.4,13,4,4,13,73,47,47,73,9,-9,1.8,-1.8,20.0,33.0
Ascent,1,T,CT,218.0,178.4,16.6,13.2,17,5,5,17,83,66,66,83,12,-12,2.4,-2.4,24.8,24.2
Icebox,-1,CT,T,199.4,233.2,14.8,18.2,8,14,14,8,74,91,91,74,-6,6,-1.2,1.2,16.4,25.8
Breeze,-1,T,CT,149.0,248.8,6.4,14.4,4,11,11,4,32,72,72,32,-7,7,-1.4,1.4,22.4,28.2
Split,1,CT,T,221.0,169.8,16.0,11.4,13,7,7,13,80,57,57,80,6,-6,1.2,-1.2,25.6,29.2
Haven,-1,T,CT,181.8,189.2,15.4,15.8,9,15,15,9,77,79,79,77,-6,6,-1.2,1.2,21.4,33.4
Split,-1,CT,T,195.0,212.6,14.2,16.2,12,9,9,12,71,81,81,71,3,-3,0.6,-0.6,27.8,14.2
Breeze,-1,T,CT,165.4,223.4,11.4,16.0,9,11,11,9,57,80,80,57,-2,2,-0.4,0.4,31.4,31.2
Haven,-1,T,CT,189.8,225.2,12.6,16.0,7,13,13,7,63,80,80,63,-6,6,-1.2,1.2,20.2,23.4
Ascent,1,T,CT,216.6,207.2,17.2,15.4,10,12,12,10,86,77,77,86,-2,2,-0.4,0.4,23.4,20.4
